title,code,industry,link,Assessing Authority,List Details,ACT_190,ACT_491,ACT_Streams,NT_190,NT_491,NT_Streams,NSW_190,NSW_491,NSW_Streams,QLD_190,QLD_491,QLD_Streams,SA_190,SA_491,SA_Streams,TAS_190,TAS_491,TAS_Streams,VIC_190,VIC_491,VIC_Streams,WA_190,WA_491,WA_Streams
"Director (Film, Television, Radio Or Stage)",212312,212312,https://www.anzscolookup.com.au/occupations/212312,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""8 options, 190: 4 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
director of photography,212313,212313,https://www.anzscolookup.com.au/occupations/212313,VETASSESS,"{""SKILLED VISAS"": ""Not available, Not available, Not available"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""Not available, 190: 0 states, 491: 0 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u274c Ineligible, Not listed"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u274c Ineligible, Not listed"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u274c Ineligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u274c Ineligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u274c Ineligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""ROL"", ""Skilled visas"": ""Not available"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""Not available"", ""Skilled assessing authorities"": ""Manual verification required""}",Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
Disabilities Services Officer,411712,411712,https://www.anzscolookup.com.au/occupations/411712,ACWA,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""14 options, 190: 7 states, 491: 7 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACWA""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Diver,399911,399911,https://www.anzscolookup.com.au/occupations/399911,VETASSESS,"{""SKILLED VISAS"": ""Not available, Not available, Not available"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""Not available, 190: 0 states, 491: 0 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u274c Ineligible, Not listed"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u274c Ineligible, Not listed"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u274c Ineligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u274c Ineligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u274c Ineligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""CSOL, ROL"", ""Skilled visas"": ""Not available"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""Not available"", ""Skilled assessing authorities"": ""Manual verification required""}",Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
Diversional Therapist,411311,411311,https://www.anzscolookup.com.au/occupations/411311,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""10 options, 190: 5 states, 491: 5 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Diving Instructor (Open Water),452311,452311,https://www.anzscolookup.com.au/occupations/452311,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""6 options, 190: 3 states, 491: 3 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Dog Handler Or Trainer,361111,361111,https://www.anzscolookup.com.au/occupations/361111,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""6 options, 190: 3 states, 491: 3 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
dog or horse racing official,452318,452318,https://www.anzscolookup.com.au/occupations/452318,VETASSESS,"{""SKILLED VISAS"": ""Not available, Not available, Not available"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""Not available, 190: 0 states, 491: 0 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u274c Ineligible, Not listed"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u274c Ineligible, Not listed"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u274c Ineligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u274c Ineligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u274c Ineligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""ROL"", ""Skilled visas"": ""Not available"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""Not available"", ""Skilled assessing authorities"": ""Manual verification required""}",Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
Drainer,334113,334113,https://www.anzscolookup.com.au/occupations/334113,TRA,"{""SKILLED VISAS"": ""4 available, 189, 190, 491, 485, Subclass 189, Subclass 190, Subclass 491, Subclass 485"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""16 options, 190: 8 states, 491: 8 states"", ""189"": ""\u2713 Eligible, MLTSSL"", ""190"": ""\u2713 Eligible, MLTSSL"", ""491"": ""\u2713 Eligible, MLTSSL"", ""485"": ""\u2713 Eligible, MLTSSL"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, MLTSSL"", ""407"": ""\u2713 Eligible, MLTSSL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u2713 Eligible, \u2713 Eligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""MLTSSL, CSOL"", ""Skilled visas"": ""MLTSSL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""MLTSSL"", ""Training"": ""MLTSSL"", ""Skilled assessing authorities"": ""TRA""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
drama teacher (private tuition),249213,249213,https://www.anzscolookup.com.au/occupations/249213,VETASSESS,"{""SKILLED VISAS"": ""Not available, Not available, Not available"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""Not available, 190: 0 states, 491: 0 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u274c Ineligible, Not listed"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u274c Ineligible, Not listed"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u274c Ineligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u274c Ineligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u274c Ineligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""ROL"", ""Skilled visas"": ""Not available"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""Not available"", ""Skilled assessing authorities"": ""Manual verification required""}",Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
Dressmaker Or Tailor,393213,393213,https://www.anzscolookup.com.au/occupations/393213,TRA,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""6 options, 190: 3 states, 491: 3 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""TRA""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Driving Instructor,451211,451211,https://www.anzscolookup.com.au/occupations/451211,VETASSESS,"{""SKILLED VISAS"": ""1 available, 491, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""4 options, 190: 0 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u2713 Eligible, ROL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, ROL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u2713 Eligible"", ""All applicable lists"": ""ROL"", ""Skilled visas"": ""ROL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""ROL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Ineligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Eligible,
Drug And Alcohol Counsellor,272112,272112,https://www.anzscolookup.com.au/occupations/272112,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""11 options, 190: 5 states, 491: 6 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Early Childhood (Pre Primary School) Teacher,241111,241111,https://www.anzscolookup.com.au/occupations/241111,ACECQA,"{""SKILLED VISAS"": ""4 available, 189, 190, 491, 485, Subclass 189, Subclass 190, Subclass 491, Subclass 485"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""16 options, 190: 8 states, 491: 8 states"", ""189"": ""\u2713 Eligible, MLTSSL"", ""190"": ""\u2713 Eligible, MLTSSL"", ""491"": ""\u2713 Eligible, MLTSSL"", ""485"": ""\u2713 Eligible, MLTSSL"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, MLTSSL"", ""407"": ""\u2713 Eligible, MLTSSL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u2713 Eligible, \u2713 Eligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""MLTSSL, CSOL"", ""Skilled visas"": ""MLTSSL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""MLTSSL"", ""Training"": ""MLTSSL"", ""Skilled assessing authorities"": ""ACECQA""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Earth Science Technician,311412,311412,https://www.anzscolookup.com.au/occupations/311412,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""10 options, 190: 5 states, 491: 5 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Economist,224311,224311,https://www.anzscolookup.com.au/occupations/224311,VETASSESS,"{""SKILLED VISAS"": ""4 available, 189, 190, 491, 485, Subclass 189, Subclass 190, Subclass 491, Subclass 485"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""8 options, 190: 4 states, 491: 4 states"", ""189"": ""\u2713 Eligible, MLTSSL"", ""190"": ""\u2713 Eligible, MLTSSL"", ""491"": ""\u2713 Eligible, MLTSSL"", ""485"": ""\u2713 Eligible, MLTSSL"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, MLTSSL"", ""407"": ""\u2713 Eligible, MLTSSL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""MLTSSL"", ""Skilled visas"": ""MLTSSL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""MLTSSL"", ""Training"": ""MLTSSL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
