title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Air Transport Professionals nec,231199,231199,https://www.anzscolookup.com.au/occupations/231199,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Airconditioning And Mechanical Services Plumber,334112,334112,https://www.anzscolookup.com.au/occupations/334112,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Airconditioning And Refrigeration Mechanic,342111,342111,https://www.anzscolookup.com.au/occupations/342111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Aircraft Maintenance Engineer (Avionics),323111,323111,https://www.anzscolookup.com.au/occupations/323111,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Aircraft Maintenance Engineer (Mechanical),323112,323112,https://www.anzscolookup.com.au/occupations/323112,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Aircraft Maintenance Engineer (Structures),323113,323113,https://www.anzscolookup.com.au/occupations/323113,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Ambulance Officer,411111,411111,https://www.anzscolookup.com.au/occupations/411111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Amusement Centre Manager,149111,149111,https://www.anzscolookup.com.au/occupations/149111,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 3 states"
Anaesthetic Technician,311211,311211,https://www.anzscolookup.com.au/occupations/311211,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Anaesthetist,253211,253211,https://www.anzscolookup.com.au/occupations/253211,MedBA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Analyst Programmer,261311,261311,https://www.anzscolookup.com.au/occupations/261311,ACS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Animal Attendants And Trainers (NEC),361199,361199,https://www.anzscolookup.com.au/occupations/361199,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Animal Husbandry Technician,311113,311113,https://www.anzscolookup.com.au/occupations/311113,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
antique dealer,142112,142112,https://www.anzscolookup.com.au/occupations/142112,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Apiarist,121311,121311,https://www.anzscolookup.com.au/occupations/121311,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 5 states"
apparel cutter,393211,393211,https://www.anzscolookup.com.au/occupations/393211,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Aquaculture Farmer,121111,121111,https://www.anzscolookup.com.au/occupations/121111,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
Aquaculture or Fisheries Scientist,234116,234116,https://www.anzscolookup.com.au/occupations/234116,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Aquaculture or Fisheries Technician,311114,311114,https://www.anzscolookup.com.au/occupations/311114,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
arborist,362511,362511,https://www.anzscolookup.com.au/occupations/362511,TRA,"STSOL, CSOL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Arborist,362212,362212,https://www.anzscolookup.com.au/occupations/362212,Manual verification required,,Not available,Not available,"190: 0 states, 491: 0 states"
archaeologist,272414,272414,https://www.anzscolookup.com.au/occupations/272414,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
